   0.00000 ,    0.00000 ,    1.99900 ,    1.99800 ,   -1.00000 ,    0.99800
   0.00100 ,    0.00200 ,    1.99900 ,    1.99800 ,   -1.00000 ,    0.99800
   0.00200 ,    0.00400 ,    1.99900 ,    1.99799 ,   -0.99999 ,    0.99800
   0.00300 ,    0.00600 ,    1.99899 ,    1.99798 ,   -0.99998 ,    0.99800
   0.00400 ,    0.00800 ,    1.99898 ,    1.99797 ,   -0.99997 ,    0.99800
   0.00500 ,    0.00999 ,    1.99897 ,    1.99795 ,   -0.99995 ,    0.99800
   0.00600 ,    0.01199 ,    1.99896 ,    1.99793 ,   -0.99993 ,    0.99800
   0.00700 ,    0.01399 ,    1.99895 ,    1.99790 ,   -0.99990 ,    0.99800
   0.00800 ,    0.01599 ,    1.99893 ,    1.99787 ,   -0.99987 ,    0.99800
   0.00900 ,    0.01799 ,    1.99892 ,    1.99783 ,   -0.99984 ,    0.99800
   0.01000 ,    0.01999 ,    1.99890 ,    1.99779 ,   -0.99980 ,    0.99799
   0.01100 ,    0.02199 ,    1.99888 ,    1.99775 ,   -0.99976 ,    0.99799
   0.01200 ,    0.02399 ,    1.99885 ,    1.99771 ,   -0.99971 ,    0.99799
   0.01300 ,    0.02599 ,    1.99883 ,    1.99765 ,   -0.99966 ,    0.99799
   0.01400 ,    0.02799 ,    1.99880 ,    1.99760 ,   -0.99961 ,    0.99799
   0.01500 ,    0.02998 ,    1.99877 ,    1.99754 ,   -0.99955 ,    0.99799
   0.01600 ,    0.03198 ,    1.99874 ,    1.99748 ,   -0.99949 ,    0.99799
   0.01700 ,    0.03398 ,    1.99871 ,    1.99741 ,   -0.99942 ,    0.99799
   0.01800 ,    0.03598 ,    1.99867 ,    1.99734 ,   -0.99935 ,    0.99799
   0.01900 ,    0.03798 ,    1.99863 ,    1.99727 ,   -0.99928 ,    0.99799
   0.02000 ,    0.03998 ,    1.99859 ,    1.99719 ,   -0.99920 ,    0.99799
   0.02100 ,    0.04198 ,    1.99855 ,    1.99711 ,   -0.99912 ,    0.99799
   0.02200 ,    0.04397 ,    1.99851 ,    1.99702 ,   -0.99903 ,    0.99799
   0.02300 ,    0.04597 ,    1.99846 ,    1.99693 ,   -0.99894 ,    0.99799
   0.02400 ,    0.04797 ,    1.99842 ,    1.99683 ,   -0.99885 ,    0.99799
   0.02500 ,    0.04997 ,    1.99837 ,    1.99674 ,   -0.99875 ,    0.99798
   0.02600 ,    0.05197 ,    1.99832 ,    1.99663 ,   -0.99865 ,    0.99798
   0.02700 ,    0.05397 ,    1.99826 ,    1.99653 ,   -0.99854 ,    0.99798
   0.02800 ,    0.05596 ,    1.99821 ,    1.99642 ,   -0.99843 ,    0.99798
   0.02900 ,    0.05796 ,    1.99815 ,    1.99630 ,   -0.99832 ,    0.99798
   0.03000 ,    0.05996 ,    1.99809 ,    1.99618 ,   -0.99820 ,    0.99798
   0.03100 ,    0.06196 ,    1.99803 ,    1.99606 ,   -0.99808 ,    0.99798
   0.03200 ,    0.06396 ,    1.99797 ,    1.99594 ,   -0.99796 ,    0.99798
   0.03300 ,    0.06595 ,    1.99790 ,    1.99580 ,   -0.99783 ,    0.99798
   0.03400 ,    0.06795 ,    1.99783 ,    1.99567 ,   -0.99769 ,    0.99798
   0.03500 ,    0.06995 ,    1.99776 ,    1.99553 ,   -0.99755 ,    0.99798
   0.03600 ,    0.07195 ,    1.99769 ,    1.99539 ,   -0.99741 ,    0.99798
   0.03700 ,    0.07395 ,    1.99762 ,    1.99524 ,   -0.99727 ,    0.99798
   0.03800 ,    0.07594 ,    1.99755 ,    1.99509 ,   -0.99712 ,    0.99798
   0.03900 ,    0.07794 ,    1.99747 ,    1.99494 ,   -0.99696 ,    0.99798
   0.04000 ,    0.07994 ,    1.99739 ,    1.99478 ,   -0.99681 ,    0.99797
   0.04100 ,    0.08194 ,    1.99731 ,    1.99462 ,   -0.99665 ,    0.99797
   0.04200 ,    0.08393 ,    1.99722 ,    1.99445 ,   -0.99648 ,    0.99797
   0.04300 ,    0.08593 ,    1.99714 ,    1.99428 ,   -0.99631 ,    0.99797
   0.04400 ,    0.08793 ,    1.99705 ,    1.99411 ,   -0.99614 ,    0.99797
   0.04500 ,    0.08992 ,    1.99696 ,    1.99393 ,   -0.99596 ,    0.99797
   0.04600 ,    0.09192 ,    1.99687 ,    1.99375 ,   -0.99578 ,    0.99797
   0.04700 ,    0.09392 ,    1.99678 ,    1.99356 ,   -0.99559 ,    0.99797
   0.04800 ,    0.09591 ,    1.99668 ,    1.99337 ,   -0.99540 ,    0.99797
   0.04900 ,    0.09791 ,    1.99659 ,    1.99318 ,   -0.99521 ,    0.99797
   0.05000 ,    0.09991 ,    1.99649 ,    1.99298 ,   -0.99501 ,    0.99797
   0.05100 ,    0.10190 ,    1.99639 ,    1.99278 ,   -0.99481 ,    0.99797
   0.05200 ,    0.10390 ,    1.99628 ,    1.99257 ,   -0.99461 ,    0.99797
   0.05300 ,    0.10590 ,    1.99618 ,    1.99236 ,   -0.99440 ,    0.99797
   0.05400 ,    0.10789 ,    1.99607 ,    1.99215 ,   -0.99419 ,    0.99797
   0.05500 ,    0.10989 ,    1.99596 ,    1.99193 ,   -0.99397 ,    0.99796
   0.05600 ,    0.11189 ,    1.99585 ,    1.99171 ,   -0.99375 ,    0.99796
   0.05700 ,    0.11388 ,    1.99574 ,    1.99149 ,   -0.99352 ,    0.99796
   0.05800 ,    0.11588 ,    1.99562 ,    1.99126 ,   -0.99329 ,    0.99796
