   0.00000 ,    0.10000 ,    1.90000 ,    1.80500 ,   -0.99500 ,    0.81000
   0.01000 ,    0.11899 ,    1.89891 ,    1.80292 ,   -0.99293 ,    0.81000
   0.02000 ,    0.13798 ,    1.89759 ,    1.80043 ,   -0.99050 ,    0.80994
   0.03000 ,    0.15695 ,    1.89609 ,    1.79759 ,   -0.98771 ,    0.80988
   0.04000 ,    0.17590 ,    1.89441 ,    1.79439 ,   -0.98457 ,    0.80982
   0.05000 ,    0.19483 ,    1.89253 ,    1.79084 ,   -0.98108 ,    0.80976
   0.06000 ,    0.21375 ,    1.89047 ,    1.78694 ,   -0.97724 ,    0.80970
   0.07000 ,    0.23264 ,    1.88823 ,    1.78270 ,   -0.97306 ,    0.80964
   0.08000 ,    0.25151 ,    1.88580 ,    1.77812 ,   -0.96854 ,    0.80959
   0.09000 ,    0.27036 ,    1.88319 ,    1.77320 ,   -0.96368 ,    0.80953
   0.10000 ,    0.28918 ,    1.88040 ,    1.76795 ,   -0.95848 ,    0.80947
   0.11000 ,    0.30797 ,    1.87743 ,    1.76237 ,   -0.95295 ,    0.80942
   0.12000 ,    0.32673 ,    1.87428 ,    1.75646 ,   -0.94710 ,    0.80936
   0.13000 ,    0.34545 ,    1.87095 ,    1.75023 ,   -0.94092 ,    0.80930
   0.14000 ,    0.36414 ,    1.86745 ,    1.74368 ,   -0.93443 ,    0.80925
   0.15000 ,    0.38280 ,    1.86377 ,    1.73682 ,   -0.92762 ,    0.80920
   0.16000 ,    0.40142 ,    1.85992 ,    1.72965 ,   -0.92051 ,    0.80914
   0.17000 ,    0.42000 ,    1.85590 ,    1.72218 ,   -0.91309 ,    0.80909
   0.18000 ,    0.43854 ,    1.85171 ,    1.71441 ,   -0.90537 ,    0.80904
   0.19000 ,    0.45703 ,    1.84735 ,    1.70635 ,   -0.89737 ,    0.80899
   0.20000 ,    0.47548 ,    1.84283 ,    1.69801 ,   -0.88907 ,    0.80894
   0.21000 ,    0.49389 ,    1.83814 ,    1.68938 ,   -0.88050 ,    0.80889
   0.22000 ,    0.51225 ,    1.83329 ,    1.68048 ,   -0.87165 ,    0.80884
   0.23000 ,    0.53055 ,    1.82829 ,    1.67132 ,   -0.86253 ,    0.80879
   0.24000 ,    0.54881 ,    1.82312 ,    1.66189 ,   -0.85315 ,    0.80874
   0.25000 ,    0.56702 ,    1.81780 ,    1.65220 ,   -0.84351 ,    0.80869
   0.26000 ,    0.58517 ,    1.81233 ,    1.64227 ,   -0.83362 ,    0.80865
   0.27000 ,    0.60326 ,    1.80671 ,    1.63209 ,   -0.82349 ,    0.80860
   0.28000 ,    0.62130 ,    1.80093 ,    1.62168 ,   -0.81312 ,    0.80856
   0.29000 ,    0.63928 ,    1.79502 ,    1.61104 ,   -0.80252 ,    0.80852
   0.30000 ,    0.65720 ,    1.78895 ,    1.60018 ,   -0.79170 ,    0.80847
   0.31000 ,    0.67506 ,    1.78275 ,    1.58910 ,   -0.78067 ,    0.80843
   0.32000 ,    0.69286 ,    1.77641 ,    1.57781 ,   -0.76942 ,    0.80839
   0.33000 ,    0.71059 ,    1.76993 ,    1.56633 ,   -0.75798 ,    0.80835
   0.34000 ,    0.72825 ,    1.76332 ,    1.55465 ,   -0.74634 ,    0.80831
   0.35000 ,    0.74585 ,    1.75658 ,    1.54278 ,   -0.73451 ,    0.80827
   0.36000 ,    0.76339 ,    1.74971 ,    1.53074 ,   -0.72250 ,    0.80824
   0.37000 ,    0.78085 ,    1.74271 ,    1.51852 ,   -0.71032 ,    0.80820
   0.38000 ,    0.79824 ,    1.73559 ,    1.50613 ,   -0.69797 ,    0.80816
   0.39000 ,    0.81556 ,    1.72835 ,    1.49359 ,   -0.68546 ,    0.80813
   0.40000 ,    0.83281 ,    1.72099 ,    1.48090 ,   -0.67280 ,    0.80810
   0.41000 ,    0.84998 ,    1.71351 ,    1.46806 ,   -0.66000 ,    0.80806
   0.42000 ,    0.86708 ,    1.70592 ,    1.45509 ,   -0.64706 ,    0.80803
   0.43000 ,    0.88410 ,    1.69823 ,    1.44199 ,   -0.63399 ,    0.80800
   0.44000 ,    0.90104 ,    1.69042 ,    1.42876 ,   -0.62079 ,    0.80797
