           1           1   6.3398868706794308E-003
           1           2   6.1624601012141315E-003
           1           3   5.4964917263615144E-003
           1           4   4.6586879213898090E-003
           1           5   3.9603346626727832E-003
           1           6   3.5821091186124796E-003
           1           7   3.5697957699050977E-003
           1           8   3.8964850945674614E-003
           1           9   4.5190778914682541E-003
           1          10   5.3992638033674763E-003
           1          11   6.4967357008414005E-003
           1          12   7.7535348540522554E-003
           1          13   9.0836462131338464E-003
           1          14   1.0374218143951478E-002
           1          15   1.1498866376276997E-002
           1          16   1.2339424557189553E-002
           1          17   1.2809799667497046E-002
           1          18   1.2874688074427414E-002
           1          19   1.2557323009961808E-002
           1          20   1.1933885697066512E-002
           1          21   1.1116468734666584E-002
           1          22   1.0229850959060571E-002
           1          23   9.3885768901584357E-003
           1          24   8.6797129602762795E-003
           1          25   8.1539935553297561E-003
           1          26   7.8251853232504838E-003
           1          27   7.6754964604666921E-003
           1          28   7.6641883869841432E-003
           1          29   7.7369794678285751E-003
           1          30   7.8347639074966662E-003
           1          31   7.9010251152675723E-003
           1          32   7.8877968140375881E-003
           1          33   7.7601214939648066E-003
           1          34   7.4988667841100086E-003
           1          35   7.1017012520560993E-003
           1          36   6.5821251074659921E-003
           1          37   5.9666981478016610E-003
           1          38   5.2909222773115140E-003
           1          39   4.5945204890197938E-003
           1          40   3.9170617301079805E-003
           1          41   3.2950416927409985E-003
           1          42   2.7616783916317223E-003
           1          43   2.3506084988892573E-003
           1          44   2.1035109776405261E-003
           1          45   2.0778731471761871E-003
           1          46   2.3441028441626541E-003
           1          47   2.9559216741085830E-003
           1          48   3.8879491486349164E-003
           1          49   4.9707709840690634E-003
           1          50   5.8952738632197660E-003
           2           1   6.5134463944782894E-003
           2           2   6.3056882251967157E-003
           2           3   5.5728942276229362E-003
           2           4   4.6570120268310698E-003
           2           5   3.8934931292793329E-003
           2           6   3.4767951713508944E-003
           2           7   3.4559134273823779E-003
           2           8   3.8015278640192956E-003
           2           9   4.4672086672032573E-003
           2          10   5.4125409931217415E-003
           2          11   6.5963510190340620E-003
           2          12   7.9601270082809653E-003
